R,c (mol/m^3) @ t=0,c (mol/m^3) @ t=50000,c (mol/m^3) @ t=1E5,c (mol/m^3) @ t=1.5E5,c (mol/m^3) @ t=2E5,c (mol/m^3) @ t=2.5E5,c (mol/m^3) @ t=3E5,c (mol/m^3) @ t=3.5E5,c (mol/m^3) @ t=4E5,c (mol/m^3) @ t=4.5E5,c (mol/m^3) @ t=5E5,c (mol/m^3) @ t=5.5E5,c (mol/m^3) @ t=6E5,c (mol/m^3) @ t=6.5E5,c (mol/m^3) @ t=7E5,c (mol/m^3) @ t=7.5E5,c (mol/m^3) @ t=8E5,c (mol/m^3) @ t=8.5E5,c (mol/m^3) @ t=9E5,c (mol/m^3) @ t=9.5E5,c (mol/m^3) @ t=1E6
0.339622641509434,-2.4803485707335754E-211,1.2438229176624613E-87,8.65885060289717E-61,2.852920465779695E-56,5.531066208427832E-42,1.3233833863163021E-39,7.977190841660203E-38,1.0234149696697653E-29,9.057375904685693E-29,1.9302947301226595E-27,2.304149613480011E-26,1.6351070853130398E-25,7.269968214596655E-25,5.05153574637756E-24,4.987175066329306E-22,1.911581091645097E-21,1.3519099053786444E-20,4.059744437769063E-20,1.7560578447851246E-19,4.72257703172846E-19,1.5939039416529963E-18
0.3427672955974843,-1.2914831439063573E-206,8.083891119648431E-86,1.6456125592976806E-59,5.0985523982753486E-55,4.421539725124863E-41,1.0275603850705824E-38,6.0075184704730894E-37,4.497617446287854E-29,3.962635739595803E-28,8.270346211305376E-27,9.646228183062456E-26,6.717215920943076E-25,2.9633423419579486E-24,2.0137218422462526E-23,1.6789009235328267E-21,6.4194522881411966E-21,4.3996416945474335E-20,1.3134631009738954E-19,5.548079511864997E-19,1.4809428395911856E-18,4.899325536761371E-18
0.3459119496855346,-2.416815531736076E-202,5.251773286619424E-84,3.1262721123039264E-58,9.096329975834445E-54,3.5337262477397525E-40,7.970438185084012E-38,4.5167117196410524E-36,1.9766583831455133E-28,1.7337060546819293E-27,3.54123389813872E-26,4.033689337233882E-25,2.755290270329147E-24,1.2056684126203201E-23,8.008768085275576E-23,5.652268262562303E-21,2.1550327921182504E-20,1.4302251078086086E-19,4.2432316844279693E-19,1.749547443296191E-18,4.6336738772445555E-18,1.5021377114745026E-17
0.34905660377358494,-3.5848488445135014E-198,3.4104024830197037E-82,5.936758714514598E-57,1.619996405411911E-52,2.8234645884739325E-39,6.175721584398643E-37,3.3899771591777896E-35,8.68757883162731E-28,7.585355119167183E-27,1.515307146983958E-25,1.6846860942767914E-24,1.1283584111982134E-23,4.895859967385275E-23,3.1774016991600833E-22,1.9030200120925923E-20,7.231546585736772E-20,4.64380472946768E-19,1.3686372064449099E-18,5.506028337907769E-18,1.4463798015644908E-17,4.5932738732314276E-17
0.35220125786163525,-4.739645833031494E-194,2.213652712006732E-80,1.1269030509007388E-55,2.879748889307067E-51,2.255365946369828E-38,4.7796905026979534E-36,2.5396907067629435E-34,3.8184193656804434E-27,3.3188306974891623E-26,6.479550595822023E-25,7.027142246313505E-24,4.6130984790610565E-23,1.9839939078170068E-22,1.2573758325615199E-21,6.407381387412522E-20,2.4254716103642486E-19,1.5058698752966667E-18,4.406983481540188E-18,1.7291284862763187E-17,4.503459001487083E-17,1.4005849002672188E-16
0.35534591194968557,-5.80539707583714E-190,1.4361737863420812E-78,2.1381038079295116E-54,5.109161977763731E-50,1.8010752119316505E-37,3.6948135236921493E-35,1.8990408834865454E-33,1.6783631154497924E-26,1.4521203252015087E-25,2.768655172340491E-24,2.9271912426211283E-23,1.8826340873685213E-22,8.022573262356823E-22,4.9623474764266846E-21,2.1573753890737168E-19,8.130367985115032E-19,4.8764356761388745E-18,1.4164459755494698E-17,5.417939722682681E-17,1.3984578272258622E-16,4.257959495382135E-16
0.3584905660377359,-6.683327714667034E-186,9.312944153389097E-77,4.0547681793238672E-53,9.046035610514521E-49,1.437876254401823E-36,2.8525819821074235E-34,1.4171439587127727E-32,7.377435212775858E-26,6.35371945372671E-25,1.1820957842363836E-23,1.2175954345615975E-22,7.668762219802971E-22,3.236659779553778E-21,1.95288430368369E-20,7.263852202102506E-19,2.7235093595429986E-18,1.576784681628339E-17,4.54362969671424E-17,1.6935429314219766E-16,4.330307390995449E-16,1.290398143116083E-15
0.3616352201257862,-7.248872323736507E-182,6.035838811138126E-75,7.685772939670806E-52,1.5982202671503775E-47,1.1475732371058429E-35,2.199412234625063E-33,1.0552933473885696E-31,3.2429617885796255E-25,2.780103665563124E-24,5.042832832289588E-23,5.057067581388147E-22,3.1176411794183247E-21,1.3026694510340013E-20,7.662431759075436E-20,2.4456188668247565E-18,9.115941939095449E-18,5.0903253043041437E-17,1.4543978312545613E-16,5.280134926458264E-16,1.3368270671897937E-15,3.897582549392499E-15
0.3647798742138365,-7.349460227898096E-178,3.9097253614905515E-73,1.4560687539788503E-50,2.8173292954760238E-46,9.155934160083886E-35,1.6934238801555438E-32,7.8408242440043004E-31,1.4255913031439966E-24,1.2164690597807994E-23,2.149368551669798E-22,2.097005717493062E-21,1.2647951302464894E-20,5.229551184528312E-20,2.9969932522873286E-19,8.233238140567983E-18,3.04838995482625E-17,1.6404571533077828E-16,4.64480594340056E-16,1.6417469991424394E-15,4.113706836574478E-15,1.1730841036757308E-14
0.3679245283018868,-6.803374852401432E-174,2.531041877376271E-71,2.7569999206198244E-49,4.954622591105657E-45,7.302676422278517E-34,1.3019079266129483E-31,5.811993835586339E-30,6.2670755953165386E-24,5.322894411482555E-23,9.152415037599824E-22,8.68087540610322E-21,5.1198245657695553E-20,2.0937348547930296E-19,1.1683056794606222E-18,2.7713192152478785E-17,1.0182870065912615E-16,5.276759245000928E-16,1.4797067863059095E-15,5.089777994930901E-15,1.2615380701645016E-14,3.517474870828841E-14
